"Date","jpy"
2002-03-29,132.699997
2002-04-01,133.309998
2002-04-02,133.130005
2002-04-03,132.710007
2002-04-04,132.330002
2002-04-05,131.550003
2002-04-08,131.520004
2002-04-09,130.649994
2002-04-10,130.740005
2002-04-11,131.529999
2002-04-12,131.919998
2002-04-15,132.059998
2002-04-16,131.169998
2002-04-17,130.699997
2002-04-18,129.970001
2002-04-19,130.309998
2002-04-22,130.110001
2002-04-23,130.229996
2002-04-24,129.619995
2002-04-25,128.679993
2002-04-26,127.82
2002-04-29,128.119995
2002-04-30,128.529999
2002-05-01,127.239998
2002-05-02,127.809998
2002-05-03,126.900002
2002-05-06,127.150002
2002-05-07,128.149994
2002-05-08,128.820007
2002-05-09,128.419998
2002-05-10,127.57
2002-05-13,127.769997
2002-05-14,128.509995
2002-05-15,127.650002
2002-05-16,128.029999
2002-05-17,125.93
2002-05-20,125.389999
2002-05-21,124.300003
2002-05-22,124.349998
2002-05-23,125.029999
2002-05-24,124.699997
2002-05-27,124.75
2002-05-28,124.489998
2002-05-29,124.349998
2002-05-30,123.419998
2002-05-31,124.059998
2002-06-03,123.620003
2002-06-04,124.169998
2002-06-05,124.129997
2002-06-06,124.120003
2002-06-07,124.309998
2002-06-10,124.739998
2002-06-11,125.279999
2002-06-12,125.580002
2002-06-13,124.989998
2002-06-14,124.129997
2002-06-17,124.260002
2002-06-18,124.260002
2002-06-19,123.860001
2002-06-20,123.449997
2002-06-21,121.089996
2002-06-24,121.599998
2002-06-25,121.150002
2002-06-26,119.919998
2002-06-27,119.540001
2002-06-28,119.519997
2002-07-01,119.769997
2002-07-02,120
2002-07-03,119.900002
2002-07-04,120.169998
2002-07-05,120.400002
2002-07-08,118.57
2002-07-09,118.059998
2002-07-10,117.760002
2002-07-11,117.029999
2002-07-12,116.849998
2002-07-15,116.220001
2002-07-16,115.970001
2002-07-17,116.330002
2002-07-18,116.529999
2002-07-19,115.900002
2002-07-22,116.370003
2002-07-23,117.370003
2002-07-24,116.68
2002-07-25,116.629997
2002-07-26,118.769997
2002-07-29,119.650002
2002-07-30,120.220001
2002-07-31,119.779999
2002-08-01,119.209999
2002-08-02,118.769997
2002-08-05,119.610001
2002-08-06,120.959999
2002-08-07,120.260002
2002-08-08,121.099998
2002-08-09,120.449997
2002-08-12,119.010002
2002-08-13,118.230003
2002-08-14,117.190002
2002-08-15,117.339996
2002-08-16,117.559998
2002-08-19,118.440002
2002-08-20,118.629997
2002-08-21,118.459999
2002-08-22,119.790001
2002-08-23,119.589996
2002-08-26,119.709999
2002-08-27,118.150002
2002-08-28,118.949997
2002-08-29,118.190002
2002-08-30,118.43
2002-09-02,117.989998
2002-09-03,117.150002
2002-09-04,117.870003
2002-09-05,118.360001
2002-09-06,118.410004
2002-09-09,118.870003
2002-09-10,119.010002
2002-09-11,120.269997
2002-09-12,120.080002
2002-09-13,121.629997
2002-09-16,122.300003
2002-09-17,122.080002
2002-09-18,121.449997
2002-09-19,121.459999
2002-09-20,123.300003
2002-09-23,123.889999
2002-09-24,123.370003
2002-09-25,122.699997
2002-09-26,122.120003
2002-09-27,122.529999
2002-09-30,121.830002
2002-10-01,122.599998
2002-10-02,122.760002
2002-10-03,122.400002
2002-10-04,123.199997
2002-10-07,124.300003
2002-10-08,124.080002
2002-10-09,123.010002
2002-10-10,123.589996
2002-10-11,124.019997
2002-10-14,124.339996
2002-10-15,124.629997
2002-10-16,124.510002
2002-10-17,125.099998
2002-10-18,125.449997
2002-10-21,124.860001
2002-10-22,125.139999
2002-10-23,124.519997
2002-10-24,124.639999
2002-10-25,124.169998
2002-10-28,123.449997
2002-10-29,122.93
2002-10-30,122.889999
2002-10-31,122.449997
2002-11-01,122.150002
2002-11-04,122.209999
2002-11-05,122.110001
2002-11-06,121.650002
2002-11-07,121.150002
2002-11-08,119.779999
2002-11-11,119.699997
2002-11-12,119.639999
2002-11-13,120.080002
2002-11-14,120.589996
2002-11-15,120.459999
2002-11-18,120.940002
2002-11-19,122.169998
2002-11-20,122.730003
2002-11-21,122.650002
2002-11-22,122.949997
2002-11-25,122.059998
2002-11-26,121.519997
2002-11-27,122.360001
2002-11-28,122.18
2002-11-29,122.470001
2002-12-02,124.370003
2002-12-03,124.190002
2002-12-04,124.449997
2002-12-05,124.709999
2002-12-06,123.519997
2002-12-09,123.360001
2002-12-10,123.919998
2002-12-11,123.720001
2002-12-12,122.480003
2002-12-13,120.43
2002-12-16,121.330002
2002-12-17,121.620003
2002-12-18,120.690002
2002-12-19,120.529999
2002-12-20,120.360001
2002-12-23,120.389999
2002-12-24,120.260002
2002-12-25,120.330002
2002-12-26,120.029999
2002-12-27,119.860001
2002-12-30,118.5
2002-12-31,118.699997
2003-01-01,118.709999
2003-01-02,120.209999
2003-01-03,119.669998
2003-01-06,119.360001
2003-01-07,120.220001
2003-01-08,119.110001
2003-01-09,119.379997
2003-01-10,119.300003
2003-01-13,119.239998
2003-01-14,118
2003-01-15,118.110001
2003-01-16,117.82
2003-01-17,117.779999
2003-01-20,118.010002
2003-01-21,118.160004
2003-01-22,118.339996
2003-01-23,118.120003
2003-01-24,117.809998
2003-01-27,118.550003
2003-01-28,118.68
2003-01-29,118.629997
2003-01-30,119.040001
2003-01-31,119.910004
2003-02-03,120.300003
2003-02-04,119.839996
2003-02-05,120.139999
2003-02-06,119.889999
2003-02-07,120.220001
2003-02-10,121.209999
2003-02-11,120.949997
2003-02-12,121.32
2003-02-13,120.330002
2003-02-14,120.300003
2003-02-17,120.209999
2003-02-18,119.040001
2003-02-19,118.68
2003-02-20,118.300003
2003-02-21,118.610001
2003-02-24,118.150002
2003-02-25,117.459999
2003-02-26,117.089996
2003-02-27,117.709999
2003-02-28,118.089996
2003-03-03,117.650002
2003-03-04,117.139999
2003-03-05,117.290001
2003-03-06,117.300003
2003-03-07,117.050003
2003-03-10,116.849998
2003-03-11,117.120003
2003-03-12,117.489998
2003-03-13,118.660004
2003-03-14,118.300003
2003-03-17,118.809998
2003-03-18,118.599998
2003-03-19,120.059998
2003-03-20,120.300003
2003-03-21,121.459999
2003-03-24,120.68
2003-03-25,119.910004
2003-03-26,119.980003
2003-03-27,119.970001
2003-03-28,119.720001
2003-03-31,118.010002
2003-04-01,117.790001
2003-04-02,119.139999
2003-04-03,118.730003
2003-04-04,119.949997
2003-04-07,119.889999
2003-04-08,119.709999
2003-04-09,120.080002
2003-04-10,119.540001
2003-04-11,120.519997
2003-04-14,120.290001
2003-04-15,120.309998
2003-04-16,119.559998
2003-04-17,119.650002
2003-04-18,119.809998
2003-04-21,120.529999
2003-04-22,119.870003
2003-04-23,120.470001
2003-04-24,119.760002
2003-04-25,120.160004
2003-04-28,120.480003
2003-04-29,119.860001
2003-04-30,118.82
2003-05-01,118.449997
2003-05-02,119.029999
2003-05-05,118.449997
2003-05-06,117.589996
2003-05-07,116.419998
2003-05-08,117.080002
2003-05-09,117.349998
2003-05-12,117
2003-05-13,116.769997
2003-05-14,116.209999
2003-05-15,116.43
2003-05-16,116.010002
2003-05-19,117.080002
2003-05-20,116.639999
2003-05-21,117.599998
2003-05-22,117.25
2003-05-23,116.949997
2003-05-26,116.860001
2003-05-27,117.269997
2003-05-28,118.550003
2003-05-29,118.169998
2003-05-30,119.300003
2003-06-02,118.650002
2003-06-03,119.139999
2003-06-04,118.830002
2003-06-05,117.720001
2003-06-06,118.629997
2003-06-09,118.18
2003-06-10,117.669998
2003-06-11,117.690002
2003-06-12,117.620003
2003-06-13,117.389999
2003-06-16,117.639999
2003-06-17,118.089996
2003-06-18,117.940002
2003-06-19,118.449997
2003-06-20,118.330002
2003-06-23,117.709999
2003-06-24,117.919998
2003-06-25,117.93
2003-06-26,119.260002
2003-06-27,119.529999
2003-06-30,119.669998
2003-07-01,119.239998
2003-07-02,118.150002
2003-07-03,118.169998
2003-07-04,118.330002
2003-07-07,118.089996
2003-07-08,118.25
2003-07-09,117.809998
2003-07-10,117.669998
2003-07-11,117.910004
2003-07-14,117.720001
2003-07-15,117.860001
2003-07-16,118.019997
2003-07-17,118.82
2003-07-18,118.419998
2003-07-21,118.550003
2003-07-22,119.019997
2003-07-23,118.720001
2003-07-24,118.949997
2003-07-25,118.760002
2003-07-28,119.410004
2003-07-29,119.82
2003-07-30,120.279999
2003-07-31,120.559998
2003-08-01,120.129997
2003-08-04,120.309998
2003-08-05,119.900002
2003-08-06,120.199997
2003-08-07,119.110001
2003-08-08,119.029999
2003-08-11,118.5
2003-08-12,118.599998
2003-08-13,119.199997
2003-08-14,118.970001
2003-08-15,119.129997
2003-08-18,119.400002
2003-08-19,118.57
2003-08-20,118.059998
2003-08-21,117.830002
2003-08-22,117.489998
2003-08-25,117.230003
2003-08-26,117.300003
2003-08-27,117.480003
2003-08-28,117.32
2003-08-29,116.889999
2003-09-01,116.5
2003-09-02,116.440002
2003-09-03,115.910004
2003-09-04,116.849998
2003-09-05,116.790001
2003-09-08,116.610001
2003-09-09,116.809998
2003-09-10,117.07
2003-09-11,117.080002
2003-09-12,117.269997
2003-09-15,117.410004
2003-09-16,116.190002
2003-09-17,116.110001
2003-09-18,115.230003
2003-09-19,113.910004
2003-09-22,112.07
2003-09-23,112.269997
2003-09-24,111.889999
2003-09-25,112.099998
2003-09-26,111.690002
2003-09-29,110.82
2003-09-30,111.290001
2003-10-01,111.230003
2003-10-02,110.870003
2003-10-03,110.809998
2003-10-06,110.93
2003-10-07,109.910004
2003-10-08,109.519997
2003-10-09,109.099998
2003-10-10,108.559998
2003-10-13,108.980003
2003-10-14,108.790001
2003-10-15,109.510002
2003-10-16,109.769997
2003-10-17,109.300003
2003-10-20,110.18
2003-10-21,109.559998
2003-10-22,108.959999
2003-10-23,109.419998
2003-10-24,109.230003
2003-10-27,108.43
2003-10-28,108.150002
2003-10-29,108.220001
2003-10-30,108.599998
2003-10-31,110
2003-11-03,110.800003
2003-11-04,109.550003
2003-11-05,109.860001
2003-11-06,110.169998
2003-11-07,109.330002
2003-11-10,108.730003
2003-11-11,108.769997
2003-11-12,108.68
2003-11-13,108.029999
2003-11-14,108.300003
2003-11-17,109.010002
2003-11-18,108.059998
2003-11-19,109.110001
2003-11-20,109
2003-11-21,108.75
2003-11-24,109.379997
2003-11-25,109.400002
2003-11-26,109.050003
2003-11-27,109.279999
2003-11-28,109.620003
2003-12-01,109.169998
2003-12-02,108.730003
2003-12-03,108.300003
2003-12-04,108.269997
2003-12-05,107.620003
2003-12-08,107.410004
2003-12-09,107.089996
2003-12-10,108.379997
2003-12-11,107.980003
2003-12-12,107.68
2003-12-15,107.739998
2003-12-16,107.510002
2003-12-17,107.379997
2003-12-18,107.650002
2003-12-19,107.709999
2003-12-22,107.489998
2003-12-23,107.43
2003-12-24,107.260002
2003-12-25,107.239998
2003-12-26,107.449997
2003-12-29,107.050003
2003-12-30,106.959999
2003-12-31,107.400002
2004-01-01,107.300003
2004-01-02,106.910004
2004-01-05,106.239998
2004-01-06,106.230003
2004-01-07,106.18
2004-01-08,106.169998
2004-01-09,106.580002
2004-01-12,106.599998
2004-01-13,106.239998
2004-01-14,106.239998
2004-01-15,106.269997
2004-01-16,106.75
2004-01-19,107.230003
2004-01-20,107
2004-01-21,106.809998
2004-01-22,106.129997
2004-01-23,106.75
2004-01-26,106.349998
2004-01-27,105.629997
2004-01-28,106.129997
2004-01-29,105.910004
2004-01-30,105.720001
2004-02-02,105.519997
2004-02-03,105.470001
2004-02-04,105.449997
2004-02-05,105.639999
2004-02-06,105.449997
2004-02-09,105.82
2004-02-10,105.580002
2004-02-11,105.339996
2004-02-12,105.300003
2004-02-13,105.199997
2004-02-16,105.449997
2004-02-17,105.610001
2004-02-18,106.339996
2004-02-19,106.910004
2004-02-20,108.949997
2004-02-23,108.300003
2004-02-24,108.199997
2004-02-25,108.970001
2004-02-26,109.480003
2004-02-27,109.25
2004-03-01,108.910004
2004-03-02,110.150002
2004-03-03,110.110001
2004-03-04,111.25
2004-03-05,112
2004-03-08,111.290001
2004-03-09,111.459999
2004-03-10,110.889999
2004-03-11,110.830002
2004-03-12,110.650002
2004-03-15,110.309998
2004-03-16,108.709999
2004-03-17,108.260002
2004-03-18,106.790001
2004-03-19,106.660004
2004-03-22,106.760002
2004-03-23,106.760002
2004-03-24,106.400002
2004-03-25,106.129997
2004-03-26,106.18
2004-03-29,105.459999
2004-03-30,105.839996
2004-03-31,104.209999
2004-04-01,103.739998
2004-04-02,104.610001
2004-04-05,105.089996
2004-04-06,105.760002
2004-04-07,105.220001
2004-04-08,106.419998
2004-04-09,106.400002
2004-04-12,105.349998
2004-04-13,106.82
2004-04-14,108.669998
2004-04-15,108.209999
2004-04-16,107.800003
2004-04-19,108.389999
2004-04-20,108.959999
2004-04-21,109.349998
2004-04-22,109.379997
2004-04-23,109.160004
2004-04-26,108.629997
2004-04-27,109.519997
2004-04-28,110.019997
2004-04-29,109.93
2004-04-30,110.370003
2004-05-03,110.160004
2004-05-04,109.550003
2004-05-05,108.82
2004-05-06,109.739998
2004-05-07,112.309998
2004-05-10,113.730003
2004-05-11,112.940002
2004-05-12,112.970001
2004-05-13,114.589996
2004-05-14,114.110001
2004-05-17,114.43
2004-05-18,114.089996
2004-05-19,112.849998
2004-05-20,112.730003
2004-05-21,112.339996
2004-05-24,113.120003
2004-05-25,111.809998
2004-05-26,111.860001
2004-05-27,111.07
2004-05-28,109.970001
2004-05-31,109.519997
2004-06-01,110.419998
2004-06-02,109.849998
2004-06-03,111.160004
2004-06-04,111.260002
2004-06-07,109.620003
2004-06-08,109.529999
2004-06-09,110.389999
2004-06-10,109.269997
2004-06-11,110.129997
2004-06-14,110.989998
2004-06-15,109.410004
2004-06-16,110.089996
2004-06-17,109.580002
2004-06-18,108.720001
2004-06-21,108.68
2004-06-22,109.190002
2004-06-23,108.209999
2004-06-24,107.190002
2004-06-25,107.599998
2004-06-28,107.989998
2004-06-29,108.190002
2004-06-30,108.870003
2004-07-01,108.470001
2004-07-02,108.260002
2004-07-05,109.010002
